"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","376","@smoke create user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
"","2691","@smoke invalid login test with JSON data - - Test@123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","7204","@smoke Verify user is able to land on the product page test macbook-MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3049","homepage headers exist test","chromium","2026-06-29","passed","2026-06-29","","homepageBeforeFixture.spec.ts","",""
"","0","Verify cart is displaying exact number of products after product is added to cart firstTime","chromium","2026-06-29","skipped","2026-06-29","","productPage.spec.ts","",""
"","6784","Search result count test macbook - MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3128","homepage title test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","377","POST API - create user","chromium","2026-06-29","passed","2026-06-29","running e2e go rest api test","API/users.api.sep.spec.ts","",""
"","344","Update user partial test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
"","6624","Search result product list test","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","356","GET - schema validation - get user","chromium","2026-06-29","passed","2026-06-29","","API/users.api.schema.spec.ts","",""
"","8225","Verify success message is displayin after product is added to cart","chromium","2026-06-29","passed","2026-06-29","","productPage.spec.ts","",""
"","3035","logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepageBeforeFixture.spec.ts","",""
"","7216","@smoke Verify user is able to land on the product page test macbook-MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","8293","Verify user is on Shopping Cart page","chromium","2026-06-29","passed","2026-06-29","","cartPage.spec.ts","",""
"","7684","Verify product information/Data","chromium","2026-06-29","passed","2026-06-29","","productPage.spec.ts","",""
"","2657","@smoke invalid login test with JSON data - user_1780695135081@test.com - sdsfs","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3447","Register user Sophie","chromium","2026-06-29","passed","2026-06-29","","registerpage.spec.ts","",""
"","407","DELETE API - delete user","chromium","2026-06-29","passed","2026-06-29","running e2e go rest api test","API/users.api.sep.spec.ts","",""
"","223","mock search data api","chromium","2026-06-29","passed","2026-06-29","","API/intercept.spec.ts","",""
"","2734","@regression invalid login test with - invalid@open.com - wrong23","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3066","logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","3142","user is able to login test","chromium","2026-06-29","passed","2026-06-29","","loginpageBeforeFixture.spec.ts","",""
"","2841","@regression invalid login test with - savi@opencart.com - ssaff","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","359","@smoke get user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
"","3721","@regression login to app using wrong credentials with data driven test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","7802","Verify product image count","chromium","2026-06-29","passed","2026-06-29","","productPage.spec.ts","",""
"","2368","forgot password link exist","chromium","2026-06-29","passed","2026-06-29","","loginpageBeforeFixture.spec.ts","",""
"","3115","homepage logo visible test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","1171","@regression POST - Create user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.indi.spec.ts","",""
"","3700","Register user Marcus","chromium","2026-06-29","passed","2026-06-29","","registerpage.spec.ts","",""
"","7698","@regression Select product from search result product list test","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","989","@smoke DELETE - delete user","chromium","2026-06-29","passed","2026-06-29","","API/users.api.indi.spec.ts","",""
"","408","GET -schema validation- get all user","chromium","2026-06-29","passed","2026-06-29","","API/users.api.schema.spec.ts","",""
"","2299","login page title test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2299","forgot password link exist","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3364","Register user Alicia","chromium","2026-06-29","passed","2026-06-29","","registerpage.spec.ts","",""
"","752","@regression GET - get location data","chromium","2026-06-29","passed","2026-06-29","","API/amedus.oauth2.spec.ts","",""
"","358","@smoke Update user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
"","6794","Search result count test imac - iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2933","homepage title test","chromium","2026-06-29","passed","2026-06-29","","homepageBeforeFixture.spec.ts","",""
"","3165","homepage headers exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","2938","intercept and log the request","chromium","2026-06-29","passed","2026-06-29","","API/intercept.spec.ts","",""
"","313","Delete user test","chromium","2026-06-29","passed","2026-06-29","","API/users.api.spec.ts","",""
"","7260","@smoke Verify user is able to land on the product page test imac-iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2815","@regression invalid login test with - - pw123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3271","user is able to login test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","6877","Search result count test macbook - MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","0","PUT - Update user","chromium","2026-06-29","skipped","2026-06-29","","API/users.api.indi.spec.ts","",""
"","376","PUT API- update name","chromium","2026-06-29","passed","2026-06-29","running e2e go rest api test","API/users.api.sep.spec.ts","",""
"","1229","GET API - get all users","chromium","2026-06-29","passed","2026-06-29","running e2e go rest api test","API/users.api.sep.spec.ts","",""
"","2353","login page title test","chromium","2026-06-29","passed","2026-06-29","","loginpageBeforeFixture.spec.ts","",""
"","2751","@smoke invalid login test with JSON data - savi@opencart.com -","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3013","footer link list test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
