"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","forgot pwd link exist test","chromium","2026-07-07","skipped","2026-07-07","","loginpage.spec.ts","",""
"","5857","@regression PUT - update a user","chromium","2026-07-07","passed","2026-07-07","","api/users.api.indi.spec.ts","",""
"","311","@regression PUT API -- Update a user","chromium","2026-07-07","passed","2026-07-07","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","0","home page headers exist test @junesprint","chromium","2026-07-07","skipped","2026-07-07","","homepage.spec.ts","",""
"","2938","invalid login test with JSON data - invalid@open.com","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","6481","@regression GET API -- get all users","chromium","2026-07-07","passed","2026-07-07","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2434","@regression forgot pwd link exist test","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","823","@regression GET -- get location data","chromium","2026-07-07","passed","2026-07-07","","api/amadeus.oauth2.spec.ts","",""
"","3207","@smoke footers exist on product page","chromium","2026-07-07","passed","2026-07-07","","productpage.spec.ts","",""
"","0","Update a user test","chromium","2026-07-07","skipped","2026-07-07","","api/users.api.spec.ts","",""
"","2946","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","2958","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Pro","chromium","2026-07-07","skipped","2026-07-07","","search.spec.ts","",""
"","3291","@smoke logout link exist test","chromium","2026-07-07","passed","2026-07-07","","homepagefix.spec.ts","",""
"","2473","@regression DELETE API -- Delete a user","chromium","2026-07-07","passed","2026-07-07","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2447","@smoke footers exist on product page","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","2963","@regression invalid login test with excel data -","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","801","@regression POST API -- create a user","chromium","2026-07-07","passed","2026-07-07","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","0","@regression verify search results count - imac - iMac","chromium","2026-07-07","skipped","2026-07-07","","search.spec.ts","",""
"","0","logout link exist test","chromium","2026-07-07","skipped","2026-07-07","","homepage.spec.ts","",""
"","2430","@smoke login page title test","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","2514","@smoke comp logo exists on product page","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","0","create a user test","chromium","2026-07-07","skipped","2026-07-07","","api/users.api.spec.ts","",""
"","0","mock search page with fake HTML","chromium","2026-07-07","skipped","2026-07-07","","api/intercept.spec.ts","",""
"","307","@@regression mock search data api","chromium","2026-07-07","passed","2026-07-07","","api/intercept.spec.ts","",""
"","0","login page title test","chromium","2026-07-07","skipped","2026-07-07","","loginpage.spec.ts","",""
"","5048","@regression verify product Information/Data","chromium","2026-07-07","passed","2026-07-07","","productpage.spec.ts","",""
"","0","user is able to login to app test","chromium","2026-07-07","skipped","2026-07-07","","loginpage.spec.ts","",""
"","4702","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-07-07","passed","2026-07-07","","search.spec.ts","",""
"","5091","@regression verify product images count","chromium","2026-07-07","passed","2026-07-07","","productpage.spec.ts","",""
"","0","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-07-07","skipped","2026-07-07","","loginpagefix.spec.ts","",""
"","2231","@regression DELETE - delete a user","chromium","2026-07-07","passed","2026-07-07","","api/users.api.indi.spec.ts","",""
"","3354","@smoke comp logo exists on product page","chromium","2026-07-07","passed","2026-07-07","","search.spec.ts","",""
