"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2397","@smoke invalid login test with JSON data - savi@opencart.com -","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2082","@smoke invalid login test with JSON data - - Test@123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","287","@smoke create user test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
"","6256","@smoke Verify user is able to land on the product page test imac-iMac","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","285","@smoke Update user test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
"","6491","@smoke Verify user is able to land on the product page test macbook-MacBook Pro","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","6568","@smoke Verify user is able to land on the product page test macbook-MacBook Air","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","1271","@smoke get user test","chromium","2026-06-28","passed","2026-06-28","","API/users.api.spec.ts","",""
"","1856","@smoke DELETE - delete user","chromium","2026-06-28","passed","2026-06-28","","API/users.api.indi.spec.ts","",""
"","2196","@smoke invalid login test with JSON data - user_1780695135081@test.com - sdsfs","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
